연번,업소명,업소도로명주소,지정일자
264,씨유 대전용문스타점,대전광역시 서구 용문로 61. 101.102호 (용문동. 신영 미소랑 아파트),2017-05-15
265,씨유 내동타운점,대전광역시 서구 배재로262번길 13. 101호 (내동),2017-05-12
266,휴대폰과 친구들,대전광역시 서구 복수동로 65. 101호 (복수동),2017-05-08
267,이마트24 대전탄방점,대전광역시 서구 문정로 84. 1층 103호 (탄방동),2017-05-01
268,GS25 가수원은아,대전광역시 서구 가수원로65번길 2 (가수원동),2017-04-27
269,대전중고나라 알뜰매장,대전광역시 서구 도산로 425. 1층 (탄방동),2017-04-27
270,지에스25탄방시티점,대전광역시 서구 문정로2번길 51. 125호126호 (탄방동. 시티빌 3차),2017-04-25
271,지에스25관저7단지점,대전광역시 서구 관저로 48. 분산상가동 101호 (관저동. 구봉마을7단지),2017-04-25
272,대흥나들마트,대전광역시 서구 도솔6길 37. 1층 (도마동),2017-04-20
273,와와민박농부가든,대전광역시 서구 장안로 452 (장안동),2017-04-20
274,세븐일레븐,대전광역시 서구 문정로170번길 207. 1층 (둔산동),2017-04-20
